CUSTOMER_RK;OPERATION_DTTM;OPERATION_TYPE_CD
2001;2019-12-31 12:12:01;Оплата штрафов
2001;2020-01-10 20:48:58;NULL
2001;2020-01-13 09:14:05;Покупка товаров и услуг
2001;2020-01-20 17:43:51;Оплата мобильного
2001;2020-01-29 01:26:45;Оплата мобильного
2001;2020-01-31 12:02:31;Покупка товаров и услуг
2001;2020-02-09 05:32:52;Покупка товаров и услуг
2001;2020-02-13 08:37:38;Переводы между своими счетами
2001;2020-02-15 14:39:56;Покупка товаров и услуг
2001;2020-02-24 12:42:16;Оплата мобильного
2001;2020-03-02 16:59:59;Оплата штрафов
